         year    sex education vocabulary
 19870607 1987 Female        12          5
19900423 1990 Female        14          7
19962610 1996 Female        17          6
20141153 2014   Male        14          5
19840045 1984 Female        12          8
20140694 2014   Male        14          5
20160273 2016 Female        16          5
20002520 2000 Female        12          3
20000458 2000   Male        12          2
19760451 1976 Female        11          3
19840179 1984   Male         9          6
19821050 1982 Female        15          6
20041277 2004   Male        12          6
19900988 1990   Male        16          8
20080599 2008 Female        16          7
19941982 1994 Female        12          7
20060520 2006   Male        14          7
20162467 2016 Female        20          9
19900799 1990 Female        12          5
20081001 2008 Female        14          7
20142344 2014 Female        13          7
19840376 1984 Female        13          5
20001875 2000   Male        16          6
19780957 1978   Male        12          2
19870657 1987   Male        13          6
19901087 1990 Female        12          3
19740415 1974   Male         8          8
19900905 1990   Male        14          6
20121269 2012   Male        20          9
19890431 1989   Male        15          5
19941218 1994   Male         6          4
19981323 1998 Female        12          6
19941765 1994 Female         9          1
19821354 1982   Male        17          7
20101351 2010 Female        11          0
20040144 2004 Female        16          9
20081862 2008   Male        12          9
19780402 1978 Female        12          4
20061013 2006 Female        17          6
19910934 1991 Female        14          8
20101050 2010 Female        14          5
20001555 2000   Male        12          2
20081252 2008 Female        12          3
19961635 1996 Female        13          7
19960540 1996 Female        17          8
20081586 2008   Male        12          6
19740723 1974 Female        12          7
19940973 1994   Male         5          3
20061855 2006 Female        12          7
20041562 2004   Male        20          9
19940990 1994 Female        12          4
20120852 2012   Male        17          8
19930674 1993   Male         2          1
19841407 1984   Male         9          5
19760735 1976   Male         8          2
19780136 1978 Female         9          3
19880713 1988   Male        16          5
19942987 1994   Male        14          5
20002523 2000 Female        13          3
19910701 1991 Female        14          5
20141281 2014   Male        12          5
19872050 1987 Female        12          6
19940059 1994 Female        19          8
19890017 1989 Female        16          5
20001773 2000 Female        13          5
19870357 1987 Female         9          6
19941027 1994 Female        14          7
20080364 2008 Female         8          6
19761420 1976 Female        12          5
20121476 2012   Male        12          3
19890347 1989 Female        14          9
20101842 2010   Male         7          2
19890697 1989   Male        12          2
19890083 1989 Female        10          2
19940917 1994   Male        20          6
20140290 2014   Male        14          3
20120957 2012 Female        12          6
19901241 1990   Male        12          4
20080909 2008 Female         8          6
20160897 2016   Male        12          3
19930489 1993   Male        14          4
20042725 2004   Male         1          2
19910361 1991   Male        16          8
19881152 1988   Male        10          8
20064191 2006   Male        18          6
19840059 1984 Female        13          7
20042652 2004   Male        12          7
19780831 1978 Female         8          5
19841422 1984 Female         8          1
19781504 1978   Male        10          4
19841238 1984 Female         6          5
19760357 1976   Male         6          4
20001179 2000   Male        16          9
20121488 2012   Male        16          9
20080977 2008   Male        16          4
20081937 2008   Male        15          5
19931458 1993 Female        12          8
19910845 1991   Male        12          3
20100537 2010 Female        18          9
19981606 1998 Female        18          8
20001955 2000 Female        15          5
19890994 1989   Male        13          5
19870738 1987   Male         6          4
20162377 2016 Female        12          6
20000616 2000   Male        18          8
19840391 1984   Male        18          8
19781069 1978   Male        14          5
19940971 1994 Female        12          5
20141735 2014   Male        20          9
19981176 1998   Male        14          5
20161600 2016   Male        13          7
20061677 2006   Male        11          6
19891154 1989   Male        12          6
19930310 1993   Male        13          7
19820130 1982   Male        16          6
19740404 1974   Male        16          6
20060027 2006 Female         5          5
19780244 1978 Female        16          6
19931024 1993 Female        12          4
20001010 2000 Female        11          6
20162312 2016   Male        16          8
19941792 1994 Female        10          4
19941261 1994   Male        12          6
19820931 1982   Male        14          3
20063828 2006 Female        12          0
19931375 1993 Female        13          7
19942531 1994   Male        13          3
19840202 1984 Female        14          9
19840886 1984 Female        12          5
19980944 1998   Male        14          9
19962582 1996 Female        12          8
19761184 1976 Female         6          3
19741102 1974   Male        16         10
20001153 2000   Male        14          8
20141897 2014 Female        16          7
19981090 1998   Male         9          6
19961927 1996   Male        15          2
19960290 1996   Male        14          4
20161978 2016 Female        17          6
19942354 1994   Male        12          5
20040855 2004 Female        16          7
19981309 1998   Male        14          9
19841202 1984 Female        13          8
19870341 1987 Female        16          6
20061341 2006 Female        16          9
19931301 1993   Male        12          4
19820980 1982   Male        16          8
20062971 2006 Female        12          8
19780296 1978 Female        12          4
20120872 2012   Male        14          5
19982173 1998   Male        14          7
19961731 1996   Male        12          6
19881280 1988 Female        17          6
19931321 1993 Female        12          9
19942006 1994 Female        18          9
19821160 1982 Female         8          7
19960444 1996 Female        11          5
19761125 1976 Female        12          6
19870965 1987 Female         8          5
19840362 1984 Female        12          4
19871194 1987   Male        12          5
20140305 2014 Female        16          5
19930994 1993 Female        13          6
