       age      wage
231655  18  75.04315
86582   24  70.47602
161300  45 130.98218
155159  43 154.68529
11443   50  75.04315
376662  54 127.11574
450601  44 169.52854
377954  30 111.72085
228963  41 118.88436
81404   52 128.68049
302778  45 117.14682
305706  34  81.28325
8690    35  89.49248
153561  39 134.70538
449654  54 134.70538
447660  51  90.48191
160191  37  82.67964
230312  50 212.84235
301585  56 129.15669
153682  37  98.59934
158226  38 200.54326
11141   40  50.40666
448410  75  85.38394
305116  40 160.64248
233002  38  94.07271
8684    49 277.60142
229379  43  84.04596
86064   34  65.11085
378472  57 116.26532
157244  18  70.47602
82694   55 195.67631
7690    51 101.40205
377879  33  81.28325
9747    34 111.72085
233301  36  89.88005
157123  56  87.98103
230823  70  87.98103
80406   25 103.90247
228851  32 105.92781
153810  27  66.22941
81383   28  34.60742
303642  27 109.83399
87492   43  45.28217
8692    50  73.77574
86929   39  81.28325
380872  52 154.68529
449480  35 267.90109
305136  57 176.98965
227963  25  66.22941
232863  33 116.26532
8621    57 200.54326
379668  71 101.82435
84595   43 272.29478
154634  23  35.03342
450864  30 114.47571
84377   22  81.28325
234086  59 200.54326
154482  28 148.41316
85916   61  99.68946
161065  34 111.72085
12003   43 152.83880
228071  54 117.14682
13479   69  77.73760
81494   41  87.98103
159076  48 125.52550
159207  49 123.33610
447501  42 158.29462
153767  37 200.54326
81071   55  99.68946
376442  21  70.47602
87299   58  94.07271
228621  31  81.28325
232494  25  81.28325
228400  32 100.76427
451860  40  94.07271
157058  44  99.68946
159583  60 268.26629
233759  23  81.28325
159224  63 113.56709
374859  44  87.98103
11710   47 128.68049
86298   61 106.72398
453021  55  66.04469
161431  24  51.52196
305888  42  85.38394
232199  25  76.89360
86568   34  90.48191
447500  53  68.07643
452506  53 130.98218
450908  70 127.90123
82573   47 131.22459
159196  46  99.68946
156110  33  76.89360
14148   34 107.90392
232000  22  81.28325
453486  74  99.68946
156065  40  98.59934
229079  45 200.54326
450905  43 156.50351
10660   33 144.94436
449456  62 118.88436
374660  37 121.43031
87463   54 111.72085
9273    34  68.74809
377517  50 114.47571
231592  46  95.23071
303825  41  87.98103
156310  63  64.27440
303376  38 128.68049
230586  35 114.47571
450109  29 112.64890
379991  66  81.28325
87291   37  75.89548
228517  39 112.13692
160971  42  85.38394
307464  51  94.07271
449246  55 114.47571
233043  51 176.98965
377184  38 276.77841
8033    49 101.82435
233687  42  91.69923
447751  43  86.69515
230398  38 162.94646
378429  59 139.21379
447412  57  95.23071
13924   25  66.96164
87630   49 131.19432
84600   41  90.48191
451987  38 114.47571
160246  61  79.12808
307755  49 104.59174
375007  52 132.48782
303430  43 141.77517
379330  60 123.08970
8339    46 134.70538
83190   21  55.76739
452580  61 106.92181
302701  32 118.88436
83222   58  87.98103
159871  35  88.92961
82108   26  81.28325
229714  32  94.07271
159048  37 106.92181
302868  22  59.09706
10499   51  65.11085
84127   44 120.58944
11661   35 157.70053
86282   60 129.45364
305327  40 176.98965
81655   35  59.09706
303953  35  94.07271
374752  47 134.70538
159109  43  81.28325
159285  33  81.28325
159909  60 153.45752
378138  38 136.87637
9786    53  75.04315
86191   55 130.22083
154759  57 104.92151
12122   64  49.55534
306309  43 123.90857
377137  35 123.08970
375944  54  78.15516
304068  45  73.77574
156557  58 138.29913
306779  48 127.11574
161021  46  68.74809
85966   46  84.39111
453692  55  85.38394
233313  51 128.68049
9681    49  70.47602
379875  34  76.89360
305250  53 148.41316
84642   40 148.41316
451306  50 175.96088
228212  37  98.59934
157989  39 145.14360
88028   52  99.68946
155697  50 141.08887
234523  48 123.08970
233149  47 129.45364
13626   27 111.72085
234640  39 103.90247
453255  44 118.88436
154195  37 151.59148
232628  52 101.82435
85539   26  99.68946
377464  39  99.68946
230582  25  99.68946
9573    31  94.07271
84164   58 152.21681
11880   30 104.92151
85545   27  65.11085
153581  40  95.23071
232176  55 173.87949
450900  35 193.41107
377900  48 114.47571
232371  29 160.64248
12056   25  89.49248
84397   40 120.58944
233497  27  73.77574
228458  44 127.11574
230993  49 118.88436
153269  22  34.60742
305585  45 114.47571
302536  33  85.38394
307024  63 318.34243
233435  49 141.77517
12288   39 130.98218
303912  25  73.77574
14404   29 130.98218
233441  37  75.04315
377452  35 154.99026
449474  46 104.92151
381113  58  73.11831
156406  39 123.08970
378714  41 157.70053
376309  29  81.28325
451901  37 107.25606
450725  62  78.98167
375024  27  73.77574
159821  37  94.07271
229865  56  99.68946
83880   36 176.98965
9965    23  73.77574
157250  46  99.68946
453371  26  94.07271
228243  43  95.23071
307645  36 127.11574
156420  54  99.68946
160039  62  95.68881
233379  40 109.83399
231082  53 118.88436
301920  48 176.98965
80687   23  61.18753
450566  34  81.28325
86450   43 256.40065
234600  55  81.28325
307663  59  81.28325
303900  60  55.76739
453852  49  75.35568
230477  45 130.98218
227901  31  43.73511
86826   34 114.47571
8653    26 114.47571
305209  22  81.28325
81173   40  68.57217
451854  41 109.83399
228591  36  97.49329
302140  38  62.39835
153731  48  97.49329
228955  47 134.70538
9621    47  61.18753
305165  35 118.88436
378023  49  65.11085
82989   40 109.83399
82023   32 104.92151
374706  57  73.77574
379611  56 141.77517
452592  73  90.48191
305871  29  73.77574
157388  49 134.70538
448936  30 109.83399
377039  29  91.69923
82375   36  95.23071
449852  39 156.50351
301195  48 104.92151
228628  45  99.68946
85756   50  54.59815
160269  42  32.36641
301711  58 118.88436
304988  48 109.83399
156809  48 109.83399
14133   45 118.88436
306552  41 110.78265
377157  27  93.55727
82901   44 109.83399
159765  32 118.88436
229546  46 118.88436
9730    52  52.15617
158570  22  43.73511
83618   53 117.14682
379620  34 118.88436
449489  38 148.41316
447879  42 101.82435
10076   25  94.07271
84867   29  86.69515
14063   28 141.77517
12822   46  66.96164
302239  55 118.88436
84949   56 105.76764
11129   41 118.88436
450963  61 176.98965
154245  47  65.11085
231844  52  85.38394
87485   27  72.15046
306574  33  89.24288
154477  58  65.11085
13319   27 145.80516
452710  52  87.98103
156407  45  41.09980
153297  22  68.39565
13996   25  81.28325
80386   25  73.77574
12586   41 130.98218
234325  54 148.41316
305437  23  81.22675
231481  36  63.18886
83198   31  94.07271
231026  52  92.65813
303072  46  76.89360
305362  45 118.88436
447780  40  79.85490
87269   33  86.69515
307318  42 133.97150
302976  41 125.52550
302515  25  92.89584
14041   24  72.15046
228348  24 118.88436
381272  51  70.47602
87402   41 127.11574
451721  42 114.47571
8318    30  87.98103
447992  55  54.59815
377619  23  84.04596
153764  60  85.38394
158574  40 141.77517
374992  41 110.78265
155488  80  79.85490
8969    53  97.49329
86280   40 171.76513
451302  35 137.48125
448525  55  75.35568
381232  24  73.77574
304500  39 148.41316
156397  30  95.23071
9066    68  87.98103
82172   54 109.83399
375305  27  81.28325
13745   34 118.88436
87094   53 127.11574
87118   48  85.38394
11498   59  81.28325
87260   30 118.88436
303688  45 163.51586
304050  39 104.92151
378178  45  99.68946
302298  43 281.74597
157594  30 138.29913
10835   57 176.98965
81344   53 136.87637
449687  42 186.87668
7980    23  90.48191
449444  58  85.38394
10723   43 145.14360
154638  33 120.58944
85115   56 101.82435
232201  37 108.87453
452906  41  38.60591
301654  33  92.89584
307056  50 126.32388
161096  43 191.57368
87060   53 155.90051
12303   37  87.98103
229331  20  59.09706
159410  26  73.77574
154322  29  90.48191
378567  57 118.88436
450843  47 151.59148
85580   54 272.29478
303657  38  97.49329
231767  23  68.11199
82755   31 127.11574
84630   43 272.29478
154919  33 111.72085
83800   48 127.11574
375159  33  87.98103
452406  52 114.47571
375122  30  69.79153
87199   44  94.07271
82912   38 127.27335
379794  51 160.64248
307692  47 171.76513
7744    28 141.77517
85617   52 115.37504
82419   23  72.15046
158170  65  73.77574
10787   27 127.11574
86679   33  20.93438
379950  49  79.85490
380366  27 102.87025
377229  48 115.37504
14381   38  97.49329
380704  58 104.92151
154336  40 115.37504
303935  46  93.48669
449322  53 123.08970
447585  25 118.88436
154099  42  96.37065
83458   40  84.04596
228692  35 127.11574
10081   50  95.23071
86122   34  81.28325
452287  48 102.87025
82373   49 111.72085
448894  41  94.07271
81495   37 127.11574
155436  58 104.92151
231274  28  68.11199
158044  33 128.68049
153953  50 143.92736
450724  38 103.90247
160958  48  91.69923
376843  30  95.23071
229069  49 138.29913
9667    44 118.55678
450052  50  94.07271
448988  58 114.47571
82603   45 150.01329
7878    44  97.49329
14321   35  90.48191
8396    59  81.28325
447417  45 130.98218
87860   51 150.96278
232031  61 130.98218
378256  45 145.14360
155519  34  90.48191
304018  33 113.56709
9841    45  87.98103
448723  50 157.70053
233955  50 109.83399
8039    39  84.04596
448678  26 160.64364
306092  49  47.90557
153618  20  59.09706
157194  31  81.28325
306995  49  87.98103
304167  56  87.98103
12086   61 143.80856
12979   56 110.78265
451080  51 118.88436
85699   42 120.58944
81085   45 272.29478
228178  30 105.37589
12945   48  69.01088
450263  33  87.98103
301266  50  89.24288
157405  31 171.76513
161083  48 133.23235
8459    35 200.54326
451331  47  92.89584
305396  45 148.41316
451170  52 119.74256
306067  46  82.67964
303214  47 105.92781
452388  49 267.90109
302942  36 104.92151
11666   51 127.11574
378911  46 157.70053
82114   37 148.41316
7969    23  65.11085
379907  43 104.92151
232187  34  78.39247
379987  58 139.21379
448271  44 112.64890
378868  61  79.85490
11319   40  65.11085
155212  37 111.72085
160678  33 104.92151
86604   38 176.98965
227990  41  99.68946
8348    30 104.92151
