RIN Year,Fuel Code,Domestic,Importer,Foreign Generation,Total RINs by Fuel Code
2010,4,304545142,18731306,0,323276448
2010,5,28611632,0,0,28611632
2010,6,6793470363,2617486,0,6796087849
2011,4,1624924461,66689563,0,1691614024
2011,5,56132230,172425788,0,228558018
2011,6,13612111406,3204291,0,13615315697
2012,3,20069,0,0,20069
2012,4,1591526666,50170499,95636832,1737333997
2012,5,51279587,575793102,0,627072689
2012,6,12987841601,0,0,12987841601
2012,7,1741,0,0,1741
2013,3,422740,0,0,422740
2013,4,2187328286,266262275,286883870,2740474431
2013,5,122511420,435313268,0,557824688
2013,6,13107997361,46157135,196357089,13350511585
2013,7,395777,0,0,395777
2014,3,33360560,0,0,33360560
2014,4,2214017272,203985011,291970178,2709972461
2014,5,79065878,64474655,0,143540533
2014,6,14022689193,79009021,257366277,14359064491
2014,7,8859,50446,0,59305
2015,3,117209297,24830944,0,142040241
2015,4,2173111915,391885020,230801430,2795798365
2015,5,58136993,88954450,0,147091443
2015,6,14383037263,118620859,340903411,14842561533
2015,7,0,275315,0,275315
2016,3,171445159,20916636,0,192361795
2016,4,2854169233,842461326,312849257,4009479816
2016,5,63698983,34404034,0,98103017
2016,6,14713569019,180530998,281617019,15175717036
2016,7,0,534429,0,534429
2017,3,213952495,36671978,0,250624473
2017,4,2815553330,694160210,339179310,3848892850
2017,5,69757482,73889090,0,143646572
2017,6,14851872278,12347968,244982236,15109202482
2017,7,459,1743435,0,1743894
2018,3,170896514,25340219,0,196236733
2018,4,2303664826,168371134,279959208,2751995168
2018,5,67578247,24312781,0,91891028
2018,6,11220755057,9517721,158046795,11388319573
2018,7,11256,1502872,0,1514128
