RIN Year,Fuel (D Code),Assignment,Total Generated,Total Retired,Total Locked,Total Available
2019,Cellulosic Biofuel (D3),Assigned,0,0,0,0
2019,Cellulosic Biofuel (D3),Separated,0,0,0,0
2019,Biomass-Based Diesel (D4),Assigned,0,0,0,0
2019,Biomass-Based Diesel (D4),Separated,0,0,0,0
2019,Advanced Biofuel (D5),Assigned,0,0,0,0
2019,Advanced Biofuel (D5),Separated,0,0,0,0
2019,Renewable Fuel (D6),Assigned,0,0,0,0
2019,Renewable Fuel (D6),Separated,0,0,0,0
2019,Cellulosic Diesel (D7),Assigned,0,0,0,0
2019,Cellulosic Diesel (D7),Separated,0,0,0,0
2018,Cellulosic Biofuel (D3),Assigned,196599013,200967,0,1129934
2018,Cellulosic Biofuel (D3),Separated,0,2635473,8357909,184274730
2018,Biomass-Based Diesel (D4),Assigned,2760125396,28705025,4053356,237413137
2018,Biomass-Based Diesel (D4),Separated,0,198140586,20783154,2271030138
2018,Advanced Biofuel (D5),Assigned,91891028,574893,151382,1809486
2018,Advanced Biofuel (D5),Separated,0,65268,55145,89234854
2018,Renewable Fuel (D6),Assigned,11429798007,98218020,365206,679804991
2018,Renewable Fuel (D6),Separated,0,297184512,489709437,9864515841
2018,Cellulosic Diesel (D7),Assigned,1514128,0,0,0
2018,Cellulosic Diesel (D7),Separated,0,0,0,1514128
2017,Cellulosic Biofuel (D3),Assigned,251905084,714288,0,12478
2017,Cellulosic Biofuel (D3),Separated,0,228506599,228675,22443044
2017,Biomass-Based Diesel (D4),Assigned,3883894416,30770501,4328,1406223
2017,Biomass-Based Diesel (D4),Separated,0,3113859896,7743730,730109738
2017,Advanced Biofuel (D5),Assigned,145158086,89611,32492,180069
2017,Advanced Biofuel (D5),Separated,0,140098473,81273,4676168
2017,Renewable Fuel (D6),Assigned,15297102250,263338158,29955,16154490
2017,Renewable Fuel (D6),Separated,0,12432423762,83830649,2501325236
2017,Cellulosic Diesel (D7),Assigned,1743894,75602,0,0
2017,Cellulosic Diesel (D7),Separated,0,1667352,0,940
2016,Cellulosic Biofuel (D3),Assigned,192361795,1153780,0,0
2016,Cellulosic Biofuel (D3),Separated,0,190930958,0,277057
2016,Biomass-Based Diesel (D4),Assigned,4009479816,38319251,86686,296537
2016,Biomass-Based Diesel (D4),Separated,0,3966607319,1358444,2811579
2016,Advanced Biofuel (D5),Assigned,98103017,127612,0,4
2016,Advanced Biofuel (D5),Separated,0,97963388,0,12013
2016,Renewable Fuel (D6),Assigned,15175717036,226370183,743590,5280740
2016,Renewable Fuel (D6),Separated,0,14942160949,234677,926897
2016,Cellulosic Diesel (D7),Assigned,534429,12758,0,0
2016,Cellulosic Diesel (D7),Separated,0,521671,0,0
2015,Cellulosic Biofuel (D3),Assigned,142040241,1371351,35948,0
2015,Cellulosic Biofuel (D3),Separated,0,140277267,15943,339732
2015,Biomass-Based Diesel (D4),Assigned,2795798365,29584233,22685,1362902
2015,Biomass-Based Diesel (D4),Separated,0,2759891109,1492494,3444942
2015,Advanced Biofuel (D5),Assigned,147091443,27297,0,46687
2015,Advanced Biofuel (D5),Separated,0,145410309,0,1607150
2015,Renewable Fuel (D6),Assigned,14845902013,198965192,464412,9490188
2015,Renewable Fuel (D6),Separated,0,14635038857,240766,1702598
2015,Cellulosic Diesel (D7),Assigned,275315,10157,0,0
2015,Cellulosic Diesel (D7),Separated,0,207373,0,57785
2014,Cellulosic Biofuel (D3),Assigned,33360560,29116,0,0
2014,Cellulosic Biofuel (D3),Separated,0,33331444,0,0
2014,Biomass-Based Diesel (D4),Assigned,2709972461,87650801,0,5504723
2014,Biomass-Based Diesel (D4),Separated,0,2610833018,0,5983919
2014,Advanced Biofuel (D5),Assigned,143540533,92250,0,27447
2014,Advanced Biofuel (D5),Separated,0,142644955,0,775881
2014,Renewable Fuel (D6),Assigned,14359064491,279049327,0,5229167
2014,Renewable Fuel (D6),Separated,0,14072545059,0,2240938
2014,Cellulosic Diesel (D7),Assigned,59305,4997,0,0
2014,Cellulosic Diesel (D7),Separated,0,45449,0,8859
2013,Cellulosic Biofuel (D3),Assigned,422740,0,0,0
2013,Cellulosic Biofuel (D3),Separated,0,414727,0,8013
2013,Biomass-Based Diesel (D4),Assigned,2740474431,80310387,0,622223
2013,Biomass-Based Diesel (D4),Separated,0,2658112054,0,1429767
2013,Advanced Biofuel (D5),Assigned,557824688,2331140,0,34461
2013,Advanced Biofuel (D5),Separated,0,555209222,0,249865
2013,Renewable Fuel (D6),Assigned,13350511585,103713251,0,3102366
2013,Renewable Fuel (D6),Separated,0,13242678875,0,1017093
2013,Cellulosic Diesel (D7),Assigned,395777,0,0,0
2013,Cellulosic Diesel (D7),Separated,0,392033,0,3744
2012,Cellulosic Biofuel (D3),Assigned,20069,0,0,20069
2012,Cellulosic Biofuel (D3),Separated,0,0,0,0
2012,Biomass-Based Diesel (D4),Assigned,1737333997,44718017,0,1034169
2012,Biomass-Based Diesel (D4),Separated,0,1690101702,0,1480109
2012,Advanced Biofuel (D5),Assigned,627072689,27007251,0,93265
2012,Advanced Biofuel (D5),Separated,0,598657696,0,1314477
2012,Renewable Fuel (D6),Assigned,12987841601,14400830,0,4831833
2012,Renewable Fuel (D6),Separated,0,12961505750,0,7103188
2012,Cellulosic Diesel (D7),Assigned,1741,0,0,0
2012,Cellulosic Diesel (D7),Separated,0,1741,0,0
2011,Cellulosic Biofuel (D3),Assigned,0,0,0,0
2011,Cellulosic Biofuel (D3),Separated,0,0,0,0
2011,Biomass-Based Diesel (D4),Assigned,1691614024,13466161,0,1624053
2011,Biomass-Based Diesel (D4),Separated,0,1655032712,0,21491098
2011,Advanced Biofuel (D5),Assigned,228558018,3600644,0,315725
2011,Advanced Biofuel (D5),Separated,0,222269087,0,2372562
2011,Renewable Fuel (D6),Assigned,13615315697,30837903,0,18200759
2011,Renewable Fuel (D6),Separated,0,13115171023,0,451106012
2011,Cellulosic Diesel (D7),Assigned,0,0,0,0
2011,Cellulosic Diesel (D7),Separated,0,0,0,0
2010,Cellulosic Biofuel (D3),Assigned,0,0,0,0
2010,Cellulosic Biofuel (D3),Separated,0,0,0,0
2010,Biomass-Based Diesel (D4),Assigned,323276448,6534849,0,1073490
2010,Biomass-Based Diesel (D4),Separated,0,313986292,0,1681817
2010,Advanced Biofuel (D5),Assigned,28611632,57876,0,0
2010,Advanced Biofuel (D5),Separated,0,28497323,0,56433
2010,Renewable Fuel (D6),Assigned,6796087849,10244607,0,45991814
2010,Renewable Fuel (D6),Separated,0,6359193794,0,380657634
2010,Cellulosic Diesel (D7),Assigned,0,0,0,0
2010,Cellulosic Diesel (D7),Separated,0,0,0,0
