unit: ug/m3,,,,,,,,,,,,,,,,,,,,
Time,K,Ca,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Ba,Pb,PM2.5,Cl-,NO3-,SO4=,NH4+,OC,EC
12/1/2014 11:00,0.959585,0.888257,0.001387,0.008808,0.068205,1.266,0.005739,0.022376,0.323291,0.014161,0.005541,0.077663,0.071892,52.0861,1.108,6.729,6.922,3.609,8.3685,1.8291
12/1/2014 12:00,0.996812,1.037,0.001697,0.011602,0.088243,1.116,0.004764,0.014463,0.424778,0.015113,0.006169,0.068825,0.074184,53.8979,1.262,9.078,8.772,4.669,7.6188,1.7192
12/1/2014 13:00,1.087,1.189,0.002259,0.00887,0.090873,1.298,0.00443,0.015658,0.359899,0.016665,0.005043,0.079268,0.0717,62.2043,1.353,9.793,9.553,5.433,6.9032,1.5859
12/1/2014 14:00,1.107,1.278,0.00207,0.006698,0.084553,1.442,0.004915,0.01846,0.279259,0.015285,0.004083,0.090673,0.064249,44.6598,1.108,6.168,5.977,3.302,5.1813,1.2529
12/1/2014 15:00,0.86534,1.07,0.001618,0.003938,0.061125,1.235,0.003057,0.013047,0.192129,0.008001,0.002719,0.079233,0.044619,36.4548,0.995,4.558,4.32,2.386,5.0148,1.1465
12/1/2014 16:00,0.714279,0.829697,0.001088,0.002421,0.047688,0.83436,0.002262,0.009234,0.151082,0.004372,0.001825,0.053168,0.042064,40.4658,1.181,4.158,4.013,1.993,5.0342,1.1215
12/1/2014 17:00,0.72936,0.784684,0.001143,0.002919,0.051089,0.884338,0.002213,0.009926,0.172247,0.005287,0.001784,0.052313,0.046303,29.4142,1.169,2.953,3.166,1.455,4.2342,1.0164
12/1/2014 18:00,0.576839,0.600865,0.00092,0.002467,0.042313,0.683332,0.001329,0.008948,0.100603,0.003173,0.001447,0.040314,0.032776,22.6134,1.193,3.302,3.119,1.426,4.6177,0.933
12/1/2014 19:00,0.704303,0.537711,0.000813,0.001854,0.031568,0.644264,0.00164,0.009796,0.094489,0.005096,0.001935,0.035546,0.045135,25.8748,1.099,3.006,2.756,1.407,4.4473,0.9145
12/1/2014 20:00,0.642901,0.362541,0.001673,0.001568,0.022813,0.476594,0.001084,0.008082,0.083769,0.005627,0.001856,0.028263,0.041366,18.2187,1.299,3.278,2.898,1.439,4.3422,0.9354
12/1/2014 21:00,0.646174,0.265821,0.001197,0.001227,0.01961,0.395951,0.001246,0.00654,0.082193,0.005622,0.00159,0.024461,0.044035,23.3874,1.356,3.314,2.919,1.37,4.8968,1.1205
12/1/2014 22:00,0.662923,0.293999,0.000657,0.001825,0.028504,0.40668,0.001396,0.008089,0.081261,0.005127,0.002177,0.025696,0.039448,20.8222,1.679,3.145,3.176,1.677,5.5291,1.3072
12/1/2014 23:00,0.663834,0.313607,0.000341,0.003019,0.040224,0.450555,0.001383,0.014576,0.165327,0.004188,0.002019,0.029098,0.037566,25.0999,1.708,3.062,3.236,1.708,5.0132,1.0993
12/2/2014 0:00,0.683799,0.287437,0.000125,0.002478,0.033618,0.478583,0.001015,0.009917,0.148045,0.004293,0.003043,0.023991,0.031194,32.2239,2.817,3.554,4.304,2.625,5.7552,1.3624
12/2/2014 1:00,0.821463,0.326187,0.005652,0.004172,0.049152,0.903334,0.00314,0.019273,0.217433,0.00857,0.007314,0.034716,0.047969,35.1951,2.814,3.847,4.145,2.627,5.9887,1.5852
12/2/2014 2:00,0.781602,0.324298,0.003433,0.008931,0.057498,0.881279,0.004689,0.039382,0.338842,0.010757,0.009667,0.029263,0.05994,33.8413,2.744,3.819,4.187,2.65,5.3543,1.241
12/2/2014 3:00,0.798041,0.304534,0.002471,0.009124,0.059104,0.813897,0.005034,0.022057,0.306461,0.008994,0.008043,0.027893,0.052936,35.1505,2.478,3.542,4.58,2.64,5.7989,1.0017
12/2/2014 4:00,0.805574,0.300144,0.002397,0.005404,0.05578,1.028,0.002693,0.012252,0.2857,0.011445,0.008739,0.026593,0.05726,25.6361,1.541,3.045,3.598,1.839,4.4423,0.7191
12/2/2014 5:00,0.558782,0.240714,0.00092,0.002875,0.03704,0.629755,0.001935,0.011067,0.242697,0.008104,0.005348,0.026149,0.048288,23.2824,1.543,2.958,2.878,1.491,4.7204,0.8037
