"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abraham Lincoln University","100 West Broadway, Suite 600, Glendale, California 91210","https://www.alu.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","197","30","NA","NA","Fall 2011","NA","Legal Studies, General","488031","04243800"
"Academy for Jewish Religion-California","574 Hilgard Avenue, Los Angeles, California 90024","www.ajrca.edu","4-year, Private not-for-profit","Master's degree","City: Large","No","53","","NA","NA","Fall 2011","NA","-","457271","04155500"
"Academy of Art University","79 New Montgomery, San Francisco, California 94105","www.academyart.edu","4-year, Private for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","11672","7652","40%","25%","Fall 2011","$30,307","-","108232","00753100"
"Academy of Chinese Culture and Health Sciences","1600 Broadway, Ste. 200, Oakland, California 94612","www.acchs.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship","City: Large","No","99","","NA","NA","Fall 2011","NA","-","108269","03288300"
"Acupuncture and Integrative Medicine College-Berkeley","2550 Shattuck Avenue, Berkeley, California 94704","https://www.aimc.edu","4-year, Private not-for-profit","Master's degree","City: Midsize","No","81","","NA","NA","Fall 2011","NA","-","384306","03327400"
"Alhambra Medical University","2215 W. Mission Road, Alhambra, California 91803","www.amu.edu","4-year, Private for-profit","Master's degree","Suburb: Large","No","146","42","NA","NA","Fall 2011","NA","-","487995","04243100"
"Alliant International University-Fresno","5130 East Clinton Way, Fresno, California 93727-2014","www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2017","NA","-","11046801","01111707"
"Alliant International University-Irvine","Jamboree Business Center, 2855 Michelle Drive, Suite 300, Irvine, California 92606-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2017","NA","-","11046804","01111704"
"Alliant International University-Los Angeles","1000 South Fremont Ave, #5, Alhambra, California 91803-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","","","","NA","NA","Fall 2017","NA","-","11046802","01111705"
"Alliant International University-Sacramento","2030 West El Camino Ave., Suite 200, Sacramento, California 95833-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2017","NA","-","11046805","01111710"
"Alliant International University-San Diego","10455 Pomerado Road, San Diego, California 92131","www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","3780","1194","NA","NA","Fall 2011","$18,884","-","110468","01111700"
"Alliant International University-San Francisco","One Beach Street, Suite 100/200, San Francisco, California 94133-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2017","NA","-","11046803","01111706"
"America Evangelical University","1818 South Western Avenue Suite 409, Los Angeles, California 90006-5860","www.aeu.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","47","14","20%","NA","Fall 2011","$8,206","-","490081","04227100"
"American Baptist Seminary of the West","2606 Dwight Way, Berkeley, California 94704-3029","www.absw.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate|Doctor's degree","City: Midsize","No","52","","NA","NA","Fall 2011","NA","-","108861","00112000"
"American Conservatory Theater","30 Grant Ave, San Francisco, California 94108-5834","www.act-sf.org","4-year, Private not-for-profit","Less than one year certificate|Two but less than 4 years certificate|Master's degree","City: Large","No","49","13","NA","NA","Fall 2011","$25,112","-","109086","02099200"
"American Film Institute Conservatory","2021 N Western Ave, Los Angeles, California 90027-1625","www.AFI.com","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Large","No","341","","NA","NA","Fall 2011","NA","-","108870","02222000"
"American Jewish University","15600 Mulholland Dr, Los Angeles, California 90077-1519","www.aju.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","153","67","29%","NA","Fall 2011","$26,977","-","116846","00274100"
"American University of Health Sciences","1600 East Hill St, Signal Hill, California 90755-3612","www.auhs.edu","4-year, Private for-profit","One but less than two years certificate|Bachelor's degree|Master's degree","Suburb: Large","No","249","249","100%","NA","Fall 2011","$15,138","-","433004","03225300"
"Angeles College","3440 Wilshire Blvd Ste 310, Los Angeles, California 90010","www.angelescollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","156","156","80%","NA","Fall 2011","$11,834","Licensed Practical/Vocational Nurse Training","457299","04160400"
"Antelope Valley College","3041 West  Ave K, Lancaster, California 93536-5426","www.avc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","14125","14125","24%","15%","Fall 2011","$9,761","-","109350","00111300"
"Antioch University-Los Angeles","400 Corporate Pointe, Culver City, California 90230-7615","www.antiochla.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","868","255","NA","NA","Fall 2011","NA","-","245838","00301002"
"Antioch University-Santa Barbara","602 Anacapa Street, Santa Barbara, California 93101","www.antiochsb.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","No","321","103","NA","NA","Fall 2011","NA","-","245847","00301003"
"Argosy University-Los Angeles","5230 Pacific Concourse, Suite 200, Los Angeles, California 90045","www.argosy.edu/locations/los-angeles","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","388","219","31%","NA","Fall 2011","$23,675","-","447272","02179928"
"Argosy University-Orange County","3601 West Sunflower Avenue, Santa Ana, California 92704","www.argosy.edu/locations/los-angeles-orange-county","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","414","146","60%","NA","Fall 2011","$24,225","-","436438","02179900"
"Argosy University-San Francisco Bay Area","1005 Atlantic Avenue, Alameda, California 94501","www.argosy.edu/locations/san-francisco","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","266","92","0%","NA","Fall 2011","$25,517","-","121983","02179908"
"Argosy University-The Art Institute of California-Hollywood","5250 Lankershim Blvd, North Hollywood, California 91601","www.aicdc.artinstitutes.edu","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","987","987","37%","NA","Fall 2011","$26,860","-","410502","02179938"
"Argosy University-The Art Institute of California-San Diego","7650 Mission Valley Road, San Diego, California 92108-4423","www.artinstitutes.edu/san-diego/","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","846","846","47%","4%","Fall 2011","$25,805","-","117113","02179947"
"Art Center College of Design","1700 Lida St, Pasadena, California 91103","www.artcenter.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","No","2251","2005","68%","NA","Fall 2011","$45,622","-","109651","00111600"
"Ashford University","8620 Spectrum Center Boulevard, San Diego, California 92123","www.ashford.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","36453","31546","8%","24%","Fall 2011","$18,469","-","154022","00188100"
"Azusa Pacific University","901 E Alosta, Azusa, California 91702-7000","www.apu.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","9926","5671","67%","NA","Fall 2011","$28,784","-","109785","00111700"
"Bakersfield College","1801 Panorama Dr, Bakersfield, California 93305-1299","www.bakersfieldcollege.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","23195","23195","23%","9%","Fall 2011","$6,645","-","109819","00111800"
"Bard College - MAT Program CA","Immanuel Presbyterian Church 3300 Wilshire Boulevard, Los Angeles, California 90010-1757","","4-year, Private not-for-profit","Master's degree","City: Large","","","","NA","NA","Fall 2017","NA","-","18908810","00267118"
"Bergin University of Canine Studies","5701 Old Redwood Hwy, Penngrove, California 94951","www.berginu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Small","No","80","41","NA","NA","Fall 2011","NA","-","461643","04176300"
"Bethel Seminary-San Diego","6116 Arosa St, San Diego, California 92115","https://www.bethel.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","No","177","","NA","NA","Fall 2011","NA","-","262022","00905804"
"Bethesda University","730 N. Euclid St, Anaheim, California 92801","www.buc.edu","4-year, Private not-for-profit","Less than one year certificate|Two but less than 4 years certificate|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","No","375","257","15%","NA","Fall 2011","$16,351","-","110060","03266300"
"Beverly Hills Design Institute","8484 Wilshire Blvd Suite #730, Beverly Hills, California 90211","www.bhdi.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","18","18","86%","NA","Fall 2011","$37,533","-","475635","04185500"
"Biola University","13800 Biola Ave, La Mirada, California 90639-0001","https://www.biola.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","Suburb: Large","Yes","6172","4048","73%","NA","Fall 2011","$33,206","-","110097","00112200"
"Brandman University","16355 Laguna Canyon Road, Irvine, California 92618","www.brandman.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","7812","3677","NA","NA","Fall 2011","$26,055","-","262086","04161800"
"California Aeronautical University","1450 Boughton Drive, Bakersfield, California 93308","www.sbbcollege.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","243","235","46%","NA","Fall 2011","$16,632","-","433420","00998900"
"California Baptist University","8432 Magnolia Ave, Riverside, California 92504-3297","www.calbaptist.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","9941","7414","59%","25%","Fall 2011","$25,714","-","110361","00112500"
"California Christian College","5364 E. Belmont Avenue, Fresno, California 93727","www.calchristiancollege.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","16","16","100%","NA","Fall 2011","$22,525","-","110918","00884400"
"California College of the Arts","1111 Eighth Street, San Francisco, California 94107-2247","www.cca.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","1927","1486","61%","NA","Fall 2011","$39,075","-","110370","00112700"
"California College San Diego","6602 Convoy Court Ste 100, San Diego, California 92111","www.cc-sd.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","875","875","35%","2%","Fall 2011","$26,739","-","485263","02110800"
"California College San Diego","277 Rancheros Drive, Suite 200, San Marcos, California 92069-2971","www.cc-sd.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","327","327","NA","NA","Fall 2011","$27,387","-","478634","02110802"
"California Health Sciences University","120 North Clovis Avenue, Clovis, California 93612","https://chsu.edu/","4-year, Private for-profit","Doctor's degree - professional practice","Suburb: Large","No","259","","NA","NA","Fall 2011","NA","-","488572",""
"California Institute of Advanced Management","1000 S. Fremont Ave. Mailbox #45, Bldg A10, 4th Floor, Suite 10402, Alhambra, California 91803","ciam.edu","4-year, Private not-for-profit","Master's degree","Suburb: Large","No","33","","NA","NA","Fall 2011","NA","Business Administration and Management, General","487649","04250600"
"California Institute of Integral Studies","1453 Mission Street, San Francisco, California 94103","www.ciis.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","No","1417","50","NA","NA","Fall 2011","NA","-","110316","01215400"
"California Institute of Technology","1200 E California Blvd, Pasadena, California 91125","www.caltech.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","2238","961","89%","NA","Fall 2011","$24,466","-","110404","00113100"
"California Institute of the Arts","24700 W McBean Pky, Valencia, California 91355-2397","www.calarts.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1498","984","67%","2%","Fall 2011","$51,199","-","111081","00113200"
"California Intercontinental University","17310 Red Hill Ave. Suite 200, Irvine, California 92614-5636","https://www.caluniversity.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","543","169","NA","NA","Fall 2011","$11,763","-","485546","04244000"
"California Jazz Conservatory","2087 Addison Street, Berkeley, California 94704-1268","www.cjc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","61","61","NA","NA","Fall 2011","$23,518","-","486488","04237600"
"California Lutheran University","60 W Olsen Rd, Thousand Oaks, California 91360-2787","www.callutheran.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","4236","2963","71%","10%","Fall 2011","$28,241","-","110413","00113300"
"California Miramar University","3550 Camino Del Rio North, Suite 208, San Diego, California 92108","www.calmu.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","267","87","NA","NA","Fall 2011","$9,910","-","480781","04189700"
"California Polytechnic State University-San Luis Obispo","1 Grand Ave., San Luis Obispo, California 93407","calpoly.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Small","Yes","22370","21351","79%","3%","Fall 2011","$19,002","-","110422","00114300"
